No.,date,time,02t,11t,12t,54t,53t,59t,bkp112t,bkp115t,bkp129t,bkp130t,bkp128t,bkp65t,bkp64t,bkp72t,bkp75t,bkp80t,bkp90t,bkp89t,13t,16t,17t,14t,18t,20t,o10,50t,bkp116t,bkp119t,bkp122t,bkp121t,bkp126t,bkp125t,bkp133t,bkp131t,bkp61t,bkp60t,bkp63t,bkp62t,bkp92t,bkp87t,bkp58t,bkp57t,bkp56t,bkp124t,bkp123t
1,4/12/2024,1:00,32,31,31,30,30,30,31,31,31,32,31,30,31,31,31,30,31,30,31,30,30,31,30,30,31,30,31,32,29,31,31,32,31,29,31,30,30,31,30,30,30,30,30,31,31
2,4/12/2024,2:00,31,31,31,30,30,30,32,31,30,32,31,30,30,30,30,30,30,30,31,30,30,31,30,30,31,30,31,32,29,31,31,31,31,29,30,30,30,31,30,30,30,30,30,31,31
3,4/12/2024,3:00,31,30,31,30,30,30,31,31,30,32,31,30,30,30,30,29,30,30,30,30,30,30,30,30,30,30,31,32,28,31,31,31,31,29,30,30,30,31,30,30,30,29,30,31,31
4,4/12/2024,4:00,31,30,30,29,30,29,31,31,30,31,31,30,30,30,30,29,30,29,30,30,30,30,30,29,30,30,31,32,28,31,31,31,30,29,30,30,30,30,30,30,30,29,30,30,30
5,4/12/2024,5:00,31,30,30,29,30,29,31,30,30,31,31,30,30,30,30,29,30,29,30,30,30,30,29,29,30,30,31,32,28,30,31,31,30,29,30,30,30,30,30,29,30,29,29,30,30
6,4/12/2024,6:00,31,30,30,29,30,29,31,30,29,31,31,30,30,30,29,28,30,29,30,30,30,30,29,29,30,30,30,32,28,30,31,31,30,29,30,30,30,30,29,29,29,29,29,30,30
7,4/12/2024,7:00,31,30,30,29,30,29,32,30,29,31,31,30,30,30,30,28,30,29,30,30,30,30,30,29,30,30,31,32,28,30,31,31,30,29,30,30,30,30,30,29,30,29,29,31,30
8,4/12/2024,8:00,31,31,30,30,30,30,33,32,30,32,32,30,31,31,30,29,30,30,31,30,30,31,30,30,31,30,32,32,29,31,32,32,31,29,30,30,30,30,30,30,30,30,30,31,32
9,4/12/2024,9:00,32,32,31,31,31,31,33,33,33,33,32,31,32,31,32,31,30,31,32,31,31,32,31,31,32,31,33,33,29,33,34,33,32,30,31,32,31,31,32,31,31,30,31,33,33
10,4/12/2024,10:00,33,33,33,32,32,31,35,35,33,34,33,32,33,32,34,32,32,32,33,32,32,33,32,33,33,31,35,35,31,34,35,34,33,31,32,32,32,32,33,32,32,32,32,34,34
11,4/12/2024,11:00,34,34,34,32,33,33,35,36,35,36,35,32,34,33,35,33,33,33,35,32,33,34,32,34,35,32,36,36,32,34,34,35,34,31,33,33,33,33,34,33,32,32,33,35,35
12,4/12/2024,12:00,35,34,35,33,34,34,35,37,38,37,36,32,34,34,35,35,33,34,36,32,33,35,32,35,36,32,37,37,33,35,34,36,35,31,34,34,34,34,35,34,33,33,34,36,36
13,4/12/2024,13:00,36,34,35,34,34,35,36,38,38,37,36,33,35,34,36,35,34,35,37,33,33,35,33,36,36,33,38,38,33,36,35,38,36,32,35,35,34,35,36,34,34,33,34,37,37
14,4/12/2024,14:00,36,36,36,34,35,36,36,38,39,38,36,34,36,35,37,36,35,35,37,34,34,36,32,37,37,34,38,38,33,36,36,38,37,33,35,35,35,35,36,35,35,34,35,37,37
15,4/12/2024,15:00,36,36,36,35,36,36,36,38,40,38,36,35,36,35,37,37,35,35,38,34,35,35,32,38,37,34,38,39,34,36,36,39,37,34,35,35,35,36,37,35,35,35,35,37,38
16,4/12/2024,16:00,36,36,36,34,36,35,35,38,40,39,36,35,36,35,37,37,35,35,37,33,34,35,32,38,37,34,38,38,33,36,36,38,37,33,35,36,35,35,36,35,35,34,35,36,37
17,4/12/2024,17:00,36,36,35,33,35,34,35,36,39,37,35,34,35,34,36,36,36,34,36,32,33,34,32,37,36,33,38,36,35,35,35,37,36,32,35,35,34,35,35,34,34,33,35,35,35
18,4/12/2024,18:00,35,34,34,32,34,33,34,35,36,36,35,33,34,33,35,34,35,33,34,32,32,33,32,36,34,33,36,35,31,33,34,35,34,31,33,34,33,33,33,33,33,32,33,34,34
19,4/12/2024,19:00,34,33,33,31,32,32,33,33,33,34,33,32,32,32,33,32,34,32,33,31,31,32,31,34,33,32,33,34,30,32,32,34,33,30,32,32,32,33,32,32,32,31,32,33,33
20,4/12/2024,20:00,33,32,32,31,31,31,32,32,31,33,32,31,32,32,32,30,33,31,32,31,31,32,31,32,32,31,32,33,30,32,32,33,32,30,32,32,32,32,32,31,31,31,31,32,32
21,4/12/2024,21:00,32,32,32,31,32,31,33,32,31,33,32,31,32,31,32,31,32,31,32,31,31,31,31,31,32,31,32,33,30,32,32,33,32,30,32,32,32,32,31,31,31,31,31,32,32
22,4/12/2024,22:00,32,32,32,30,31,31,32,32,31,33,32,31,31,31,32,30,31,31,32,31,31,31,30,31,31,31,32,33,29,32,31,32,32,30,31,31,31,32,31,31,31,30,31,32,32
23,4/12/2024,23:00,32,31,31,30,31,30,32,32,31,33,32,31,31,31,31,30,31,31,32,30,31,31,30,31,31,31,32,33,29,31,31,32,31,30,31,31,31,31,31,31,31,30,30,31,31
24,4/12/2024,0:00,32,31,31,30,31,30,32,31,31,32,31,31,31,31,31,30,31,30,31,30,30,31,30,30,31,30,32,32,29,31,31,32,31,29,31,31,31,31,31,30,30,30,30,31,31
25,4/13/2024,1:00,32,31,31,30,31,30,32,31,31,32,31,31,31,31,31,29,31,30,31,30,30,31,30,30,31,30,31,32,29,31,31,32,31,29,31,30,30,31,31,30,30,30,30,31,31
26,4/13/2024,2:00,31,31,31,30,30,30,32,31,30,32,31,30,30,30,30,29,31,30,31,30,30,31,30,30,31,30,31,32,29,31,30,31,31,29,30,30,30,31,30,30,30,30,30,31,31
27,4/13/2024,3:00,31,31,31,30,30,30,32,31,30,32,31,30,30,30,30,29,30,30,31,30,30,30,30,29,31,30,31,32,29,31,30,31,31,29,30,30,30,30,30,30,30,30,30,31,31
28,4/13/2024,4:00,31,31,31,30,30,30,32,31,30,32,31,30,30,30,30,29,30,29,31,30,30,30,30,29,31,30,31,32,29,31,30,31,31,29,30,30,30,30,30,30,30,30,30,31,31
29,4/13/2024,5:00,31,30,31,30,30,29,32,31,30,32,31,30,30,30,30,29,30,29,30,30,30,30,30,29,30,30,31,32,29,31,30,31,31,29,30,30,30,30,30,29,30,30,30,31,31
30,4/13/2024,6:00,31,30,30,30,30,29,32,31,30,32,31,30,30,30,30,28,30,29,30,30,30,30,30,29,30,30,31,32,29,31,30,31,31,29,30,30,30,30,30,29,30,30,30,31,31
