No.,date,time,02t,11t,12t,54t,53t,59t,bkp112t,bkp115t,bkp129t,bkp130t,bkp128t,bkp65t,bkp64t,bkp72t,bkp75t,bkp80t,bkp90t,bkp89t,13t,16t,17t,14t,18t,20t,o10,50t,bkp116t,bkp119t,bkp122t,bkp121t,bkp126t,bkp125t,bkp133t,bkp131t,bkp61t,bkp60t,bkp63t,bkp62t,bkp92t,bkp87t,bkp58t,bkp57t,bkp56t,bkp124t,bkp123t
1,4/12/2024,1:00,67,72,92,78,72,86,74,76,79,76,78,78,78,78,75,84,78,85,65,77,99,89,88,71,77,72,76,74,83,77,77,79,79,79,76,80,77,75,75,80,79,78,79,75,77
2,4/12/2024,2:00,67,72,93,77,72,86,74,76,81,78,78,78,78,79,77,85,78,85,64,78,99,90,89,73,78,71,76,73,83,77,77,80,79,79,76,80,77,75,74,80,79,77,78,75,77
3,4/12/2024,3:00,68,73,93,78,73,89,75,77,82,78,79,79,80,80,78,88,80,87,65,79,99,91,90,74,78,72,77,74,83,79,78,81,80,81,78,82,79,76,76,83,80,78,79,76,78
4,4/12/2024,4:00,69,74,95,79,72,96,75,77,83,78,79,80,81,80,78,90,81,89,66,80,99,93,91,74,78,73,77,75,84,80,79,81,81,81,79,83,80,78,77,84,81,79,80,77,79
5,4/12/2024,5:00,69,76,96,80,74,99,75,78,85,79,80,81,82,81,79,90,82,90,68,81,99,95,93,74,79,75,77,76,85,81,80,82,82,82,80,84,81,79,78,86,82,79,81,77,79
6,4/12/2024,6:00,70,77,97,80,74,99,75,78,85,81,80,82,82,82,81,90,80,92,69,82,99,97,93,76,80,75,78,76,85,81,80,82,83,82,80,85,82,79,79,87,83,79,82,78,79
7,4/12/2024,7:00,71,77,98,80,73,99,75,79,86,81,79,82,82,81,81,90,81,92,70,81,99,97,92,77,80,75,78,76,86,82,81,82,83,83,81,85,82,80,80,88,83,79,82,78,79
8,4/12/2024,8:00,71,74,98,78,72,99,73,75,83,78,78,81,80,78,78,88,81,87,66,78,99,93,89,76,77,74,74,74,84,79,77,80,80,81,79,82,80,79,77,84,81,78,79,76,77
9,4/12/2024,9:00,71,69,94,73,68,96,72,71,76,74,77,76,75,74,72,84,80,79,60,74,95,80,85,68,73,70,70,71,80,73,71,74,76,78,73,74,76,75,71,79,76,75,75,70,73
10,4/12/2024,10:00,67,63,87,69,63,75,68,66,73,70,72,72,70,70,65,76,74,72,56,70,75,67,78,64,70,66,65,67,76,67,68,70,73,75,70,72,71,69,66,70,73,70,70,65,70
11,4/12/2024,11:00,62,58,80,66,59,66,68,63,67,65,66,69,66,67,62,69,68,68,49,68,68,63,77,58,64,63,63,65,72,67,66,68,69,74,66,69,66,65,61,67,71,68,66,63,67
12,4/12/2024,12:00,57,57,76,63,56,61,66,60,60,60,65,69,63,65,60,62,65,62,44,67,67,58,75,53,61,62,60,61,70,65,63,64,67,73,64,66,65,63,59,63,69,66,65,59,64
13,4/12/2024,13:00,53,56,75,60,54,58,64,58,59,60,63,66,61,63,57,59,62,60,41,64,65,56,70,49,60,59,58,59,68,63,61,59,64,70,60,62,61,60,55,62,66,65,63,57,61
14,4/12/2024,14:00,52,51,71,60,50,55,63,58,55,57,61,63,58,58,54,56,60,59,39,57,60,54,74,46,58,55,59,58,67,60,58,58,63,66,59,61,60,57,55,61,62,62,61,57,60
15,4/12/2024,15:00,49,49,67,57,47,52,62,56,52,56,60,59,56,57,52,52,56,57,38,60,55,52,76,42,55,52,57,55,64,58,56,54,61,63,56,58,58,54,52,60,60,59,57,55,57
16,4/12/2024,16:00,48,47,69,58,45,52,64,55,52,54,61,59,56,58,50,52,56,58,37,64,57,53,77,43,55,52,55,56,67,61,56,56,60,65,55,56,57,54,51,58,61,60,56,56,57
17,4/12/2024,17:00,50,50,73,61,49,56,67,59,55,56,65,63,59,64,52,57,55,62,39,67,63,60,77,44,58,56,56,61,59,66,59,59,62,69,59,59,59,58,56,62,66,64,59,58,61
18,4/12/2024,18:00,53,57,77,66,56,62,68,65,62,61,67,67,64,66,57,64,58,67,47,68,65,67,77,48,64,59,62,65,73,68,64,66,68,71,65,65,64,62,62,67,69,67,65,63,65
19,4/12/2024,19:00,57,61,80,69,61,65,71,68,70,67,72,70,68,71,64,71,63,73,53,72,72,75,83,47,68,63,67,68,77,72,68,70,72,75,67,68,66,65,65,71,72,71,69,67,68
20,4/12/2024,20:00,60,64,84,71,65,68,72,71,76,70,74,72,72,73,67,79,68,79,56,74,76,81,85,60,71,66,70,70,78,74,72,73,74,76,70,72,69,68,68,75,74,73,71,70,71
21,4/12/2024,21:00,63,64,86,71,65,68,72,71,77,71,76,72,73,75,68,79,71,80,56,76,81,85,86,64,72,65,69,70,78,76,73,74,75,77,70,71,68,69,69,78,76,73,71,71,71
22,4/12/2024,22:00,64,67,89,74,67,72,74,72,78,72,78,75,75,77,69,82,72,83,56,78,94,87,90,64,74,69,71,72,81,77,75,77,77,79,73,75,71,71,71,79,78,76,74,73,73
23,4/12/2024,23:00,66,72,92,77,70,80,75,75,78,75,78,78,78,79,74,85,74,87,60,80,99,91,91,66,77,72,75,74,84,79,78,79,79,80,76,79,76,75,74,82,80,78,78,75,76
24,4/12/2024,0:00,67,75,94,78,72,95,75,77,80,77,80,80,80,79,77,86,76,88,63,80,99,93,91,69,78,74,76,75,84,80,80,80,81,81,78,81,78,77,76,83,81,78,80,76,78
25,4/13/2024,1:00,69,76,96,79,73,99,75,77,81,79,80,81,81,81,81,89,78,89,65,81,99,95,93,73,79,75,77,76,85,80,81,81,82,82,79,83,80,78,77,85,82,79,81,77,78
26,4/13/2024,2:00,70,77,97,81,75,99,76,78,82,80,80,82,82,81,79,89,79,90,68,82,99,96,93,76,80,75,77,76,86,81,82,82,83,83,81,85,81,80,79,87,83,80,82,78,79
27,4/13/2024,3:00,70,77,97,80,75,99,76,78,82,80,80,82,82,81,79,90,80,91,68,81,99,97,93,77,79,75,77,76,85,81,82,81,83,83,81,85,81,80,79,87,83,80,82,78,79
28,4/13/2024,4:00,71,77,98,80,76,99,76,78,82,80,80,82,82,81,80,92,82,92,68,81,99,98,93,78,80,75,77,76,85,81,82,82,83,83,81,85,81,80,79,87,83,80,82,78,79
29,4/13/2024,5:00,71,77,98,80,76,99,76,78,82,79,80,82,82,81,80,93,81,92,68,81,99,98,94,80,79,75,77,76,84,82,82,82,83,83,81,85,82,80,79,88,83,80,81,78,78
30,4/13/2024,6:00,72,76,98,80,77,99,75,78,82,80,79,82,82,80,81,94,82,94,69,81,99,98,93,79,80,75,77,76,84,82,82,81,83,82,81,85,81,80,80,89,84,80,81,78,79
31,4/13/2024,7:00,72,76,98,79,76,99,75,77,87,80,79,82,82,80,81,92,82,94,68,80,99,98,92,77,79,75,77,75,84,82,82,81,83,82,80,85,81,80,80,89,84,80,81,79,79
32,4/13/2024,8:00,72,74,98,78,74,99,73,74,83,78,78,80,80,78,76,89,83,88,65,78,99,94,90,74,76,74,75,74,84,79,80,79,80,81,79,82,80,80,77,84,81,78,80,77,76
33,4/13/2024,9:00,71,66,93,72,69,79,69,68,75,72,76,74,74,73,69,83,80,78,55,75,97,82,84,66,70,68,68,69,78,71,74,72,73,77,71,72,72,73,67,76,76,74,74,68,68
34,4/13/2024,10:00,66,59,85,68,61,61,66,61,66,64,72,68,67,68,63,72,72,70,47,69,76,71,80,57,64,61,61,63,72,68,67,66,67,73,66,67,65,67,60,68,71,69,68,61,63
35,4/13/2024,11:00,58,53,76,61,54,54,64,57,61,58,71,64,61,61,57,65,65,64,40,66,64,61,74,49,59,57,57,59,68,65,61,62,64,69,61,62,59,61,55,64,65,62,61,57,57
36,4/13/2024,12:00,50,50,69,58,50,50,61,56,58,53,66,61,57,59,52,60,65,59,37,64,63,53,73,44,56,53,55,57,67,57,57,59,57,67,58,57,56,56,52,61,61,62,59,53,56
37,4/13/2024,13:00,45,48,65,57,49,50,58,55,56,51,64,59,55,56,51,58,60,58,36,58,63,51,60,41,56,52,55,56,55,57,55,56,60,63,55,55,55,53,49,60,59,59,57,53,56
38,4/13/2024,14:00,44,47,63,56,48,49,59,53,54,51,61,58,51,56,50,55,58,59,35,59,59,51,62,40,54,50,55,56,62,56,54,55,58,62,54,54,55,52,48,60,58,57,56,52,55
39,4/13/2024,15:00,44,46,64,55,46,47,61,53,52,51,60,57,50,54,49,53,56,57,35,58,58,49,66,40,54,50,53,54,65,58,55,56,57,62,53,53,54,50,48,58,58,58,55,51,53
40,4/13/2024,16:00,45,46,65,57,45,49,61,54,51,53,63,56,50,59,49,54,54,57,35,62,60,53,68,39,54,50,54,55,66,60,56,55,58,64,52,54,55,50,49,60,59,60,55,55,55
